listing_id,neighborhood,bedrooms,property_type,price_ksh,occupancy_rate,rating,review_count,price_tier,source_neighbourhood,last_review
11708,lavington,1 BR,Entire Home,6700,0.94,5,231,4,Bushwick,2019-06-22
11943,gigiri,Studio,Private Room,12300,0,4,0,5,Flatbush,
12048,south-c,Studio,Private Room,2800,0.485,5,214,1,Lower East Side,2019-07-05
12192,lavington,Studio,Private Room,5400,0.737,5,245,4,East Village,2019-06-21
12299,thika-road,1 BR,Entire Home,8300,0.055,4.3,15,1,South Slope,2019-05-27
12303,runda,Studio,Private Room,9800,0.148,4.4,25,5,Fort Greene,2018-09-30
12318,kilimani,Studio,Private Room,10600,0.252,4.8,81,4,Upper West Side,2019-06-16
12343,langata,1 BR,Entire Home,10900,0.153,4.9,97,2,Harlem,2019-06-13
12627,kileleshwa,1 BR,Entire Home,11800,0.74,4.4,11,4,Prospect-Lefferts Gardens,2019-06-05
12937,kilimani,Studio,Private Room,10200,0.411,5,248,4,Long Island City,2019-07-01
12940,lavington,1 BR,Entire Home,8700,0.274,4.8,61,4,Bedford-Stuyvesant,2019-05-25
13050,lavington,1 BR,Entire Home,9100,0,4.2,11,4,Bedford-Stuyvesant,2017-01-01
13394,runda,Studio,Private Room,6600,0.474,5,135,5,Fort Greene,2019-06-17
13808,lavington,Studio,Private Room,6300,0.312,5,112,4,Bedford-Stuyvesant,2019-06-16
14287,kilimani,2 BR,Entire Home,11900,0.173,4.8,73,4,Upper West Side,2019-07-07
14290,westlands,2 BR,Entire Home,18700,0.616,4.9,82,5,Williamsburg,2019-05-17
14314,langata,1 BR,Entire Home,10400,0.359,5,328,2,Greenpoint,2019-06-29
14322,muthaiga,2 BR,Entire Home,16400,0.296,4.3,19,5,Kips Bay,2019-03-25
14377,westlands,1 BR,Entire Home,12300,0.918,5,105,5,Williamsburg,2019-06-22
14991,south-c,Studio,Private Room,7600,0.175,4.3,19,1,Lower East Side,2019-05-18
15220,karen,Studio,Private Room,5700,0.195,5,289,5,Hell's Kitchen,2019-06-09
15338,langata,Studio,Private Room,3600,0.123,5,138,2,Greenpoint,2019-06-04
15341,kileleshwa,2 BR,Entire Home,14200,0.578,4.4,21,4,SoHo,2019-06-29
15385,westlands,Studio,Private Room,6600,0.279,4.6,42,5,Williamsburg,2019-06-30
15396,lavington,3 BR,Entire Home,29500,0.507,4.1,5,4,Chelsea,2018-11-03
15711,langata,2 BR,Entire Home,18100,0.367,4.8,66,2,Upper East Side,2019-03-30
16326,upperhill,2 BR,Entire Home,15100,0.186,5,143,3,Prospect Heights,2019-01-26
16338,ngong-road,Studio,Private Room,4200,0.2,4.4,27,3,Clinton Hill,2017-09-30
16421,karen,Studio,Private Room,4300,0.477,5,191,5,Hell's Kitchen,2019-05-16
16458,south-b,2 BR,Entire Home,16300,0,4.1,4,2,Park Slope,2017-09-24
16580,lavington,Studio,Private Room,6300,0.803,5,338,4,East Village,2019-07-01
16595,westlands,3 BR,Entire Home,22500,0.008,5,148,5,Williamsburg,2019-06-23
16821,lavington,Studio,Private Room,7800,0.079,5,106,4,East Village,2019-06-21
16974,muthaiga,2 BR,Entire Home,18400,0.411,5,190,5,East Harlem,2019-06-23
17037,lavington,2 BR,Entire Home,18100,0.682,4.7,49,4,East Village,2018-05-14
17092,karen,Studio,Private Room,4200,0.759,4.4,23,5,Hell's Kitchen,2019-06-01
17693,muthaiga,Studio,Private Room,5300,0.079,5,49,5,Washington Heights,2019-06-18
17747,ngong-road,Studio,Private Room,7900,0.167,5,105,3,Clinton Hill,2019-06-26
18127,lavington,2 BR,Entire Home,15000,0.386,4.3,21,4,East Village,2019-01-02
18152,langata,1 BR,Private Room,14500,0.118,5,142,2,Upper East Side,2019-07-06
18198,kilimani,Studio,Private Room,5500,0.112,4.4,25,4,Woodside,2019-05-31
18590,runda,Studio,Private Room,7800,0.638,5,143,5,Fort Greene,2019-06-16
18728,lavington,Studio,Private Room,11800,0.192,5,167,4,Chelsea,2019-05-28
18764,westlands,Studio,Private Room,11900,0.348,4.8,61,5,Williamsburg,2019-04-22
19159,langata,1 BR,Entire Home,8000,0.427,4.7,54,2,Harlem,2019-03-23
19169,south-c,3 BR,Entire Home,19800,0.101,4.8,70,1,Lower East Side,2019-06-30
19282,gigiri,1 BR,Entire Home,10600,0.896,4.2,16,5,Flatbush,2019-06-15
19319,south-c,Studio,Private Room,6500,0.485,4.9,94,1,Lower East Side,2019-04-08
19601,kileleshwa,3 BR,Entire Home,63000,0.981,4.4,25,4,Brooklyn Heights,2016-08-04
19812,westlands,1 BR,Entire Home,8600,0.255,4.8,61,5,Williamsburg,2018-08-09
20299,lavington,Studio,Private Room,4700,0.929,5,194,4,East Village,2019-06-30
20300,lavington,Studio,Private Room,3900,0,4,2,4,East Village,2016-02-14
20611,westlands,Studio,Private Room,7000,0.211,5,174,5,Williamsburg,2019-06-22
20724,lavington,Studio,Private Room,5100,0.132,4.4,24,4,Bushwick,2019-05-26
20734,upperhill,1 BR,Entire Home,9900,0.433,5,166,3,Prospect Heights,2019-06-27
20755,ngong-road,Studio,Private Room,7400,0.493,4.3,16,3,Clinton Hill,2019-05-31
20853,upperhill,2 BR,Entire Home,18900,0.567,4.4,21,3,Prospect Heights,2019-05-21
20913,westlands,1 BR,Entire Home,8200,0,5,168,5,Williamsburg,2018-07-22
21293,lavington,1 BR,Entire Home,8300,0.975,5,118,4,Bushwick,2019-06-18
21456,kilimani,1 BR,Entire Home,11000,0.458,4.9,81,4,Upper West Side,2019-07-07
21644,langata,Studio,Private Room,6500,0,4.1,1,2,Harlem,2018-10-09
21794,lavington,Studio,Private Room,7700,0.003,4.4,30,4,Chelsea,2019-05-01
22911,lavington,1 BR,Entire Home,9800,0.148,5,139,4,Bedford-Stuyvesant,2018-10-28
22918,langata,Studio,Private Room,4400,0.4,4.5,11,2,Harlem,2019-01-03
23135,parklands,2 BR,Entire Home,13200,0.063,5,233,3,Carroll Gardens,2019-06-24
23501,muthaiga,Studio,Private Room,5300,0.145,4.8,68,5,Washington Heights,2012-11-01
23686,muthaiga,3 BR,Entire Home,41000,0.334,4.7,46,5,West Village,2019-05-18
24143,westlands,Studio,Private Room,8300,0.584,5,335,5,Williamsburg,2019-05-29
24285,south-b,2 BR,Entire Home,16000,0.975,4.9,88,2,Park Slope,2018-11-02
25235,lavington,1 BR,Entire Home,9800,0.625,5,162,4,Bedford-Stuyvesant,2019-06-28
25406,westlands,1 BR,Entire Home,6600,0.392,4.5,29,5,Williamsburg,2018-05-26
25696,langata,Studio,Private Room,7300,0.052,5,170,2,Harlem,2019-06-23
26012,kilimani,2 BR,Entire Home,15800,0.43,4.3,19,4,Gowanus,2017-03-17
26362,karen,Studio,Private Room,4800,0.236,5,334,5,Hell's Kitchen,2019-06-16
26520,ngong-road,Studio,Private Room,9500,0.315,4.3,19,3,Clinton Hill,2019-06-02
26559,lavington,1 BR,Entire Home,11000,0.551,4.2,12,4,East Village,2017-12-11
26785,thika-road,1 BR,Entire Home,8300,0.474,5,467,1,South Slope,2018-12-30
26933,lavington,3 BR,Entire Home,27600,0.184,4.1,7,4,East Village,2017-08-09
26954,muthaiga,2 BR,Entire Home,16300,0.288,4.6,38,5,Kips Bay,2015-12-02
26969,westlands,3 BR,Entire Home,26600,0.707,5,324,5,Williamsburg,2019-06-23
27006,kilimani,2 BR,Entire Home,18500,0.455,4.4,27,4,Upper West Side,2019-04-27
27385,lavington,2 BR,Entire Home,17700,0.181,5,115,4,East Village,2019-06-07
27531,thika-road,Studio,Private Room,6900,0.945,5,354,1,South Slope,2019-05-20
27644,langata,2 BR,Entire Home,12300,0.129,5,195,2,Harlem,2019-07-01
27659,thika-road,3 BR,Entire Home,27800,0.408,4.3,16,1,South Slope,2018-12-30
27759,kilimani,2 BR,Entire Home,13400,0.386,4.2,13,4,Upper West Side,2019-06-26
27883,lavington,1 BR,Entire Home,7900,0,4.4,25,4,East Village,2011-12-10
28321,kileleshwa,Studio,Private Room,5900,0.112,4.1,9,4,Prospect-Lefferts Gardens,2018-10-05
28396,westlands,Studio,Private Room,7400,0.329,4.1,9,5,Williamsburg,2011-09-18
28907,langata,1 BR,Entire Home,10900,0.482,4.3,21,2,Upper East Side,2017-08-15
29012,muthaiga,Studio,Private Room,7000,0.159,4.5,36,5,Washington Heights,2017-08-17
29013,lavington,Studio,Private Room,5500,0.151,4.8,63,4,Bedford-Stuyvesant,2019-05-14
29455,langata,1 BR,Entire Home,8700,0.416,5,155,2,Harlem,2019-06-20
29628,ngong-road,Studio,Private Room,6700,0.238,5,260,3,Clinton Hill,2019-07-03
29683,lavington,2 BR,Entire Home,14600,0.427,4.8,73,4,East Village,2019-06-25
30031,langata,Studio,Private Room,3600,0,5,193,2,Greenpoint,2019-05-20
30927,south-c,1 BR,Entire Home,7300,0.956,4.5,32,1,Lower East Side,2019-06-14
31130,karen,Studio,Private Room,10600,0.359,4.7,50,5,Hell's Kitchen,2019-05-26
31555,muthaiga,1 BR,Entire Home,9400,0.967,4.4,26,5,West Village,2019-07-01
31902,thika-road,Studio,Private Room,5300,0.512,4,2,1,Flatlands,2019-01-01
31994,ngong-road,Studio,Private Room,5800,0.247,5,426,3,Clinton Hill,2019-06-24
32023,lavington,1 BR,Entire Home,9800,0.553,5,227,4,Bedford-Stuyvesant,2019-06-23
32037,ngong-road,Studio,Private Room,10200,0,4.9,84,3,Clinton Hill,2019-07-01
32100,langata,2 BR,Entire Home,18100,0.907,4,3,2,Greenpoint,2017-07-30
32289,westlands,2 BR,Entire Home,16300,0.233,4.1,10,5,Williamsburg,2018-06-11
32331,runda,1 BR,Entire Home,11500,0,4.1,4,5,Cobble Hill,2016-04-24
32363,kileleshwa,Studio,Private Room,11000,0.997,4,1,4,Flushing,2011-09-19
32965,lavington,1 BR,Entire Home,9100,0.534,5,124,4,Bedford-Stuyvesant,2019-06-20
32969,westlands,2 BR,Entire Home,13100,0.485,4.2,11,5,Williamsburg,2019-07-02
33009,westlands,2 BR,Entire Home,16000,0.414,5,240,5,Williamsburg,2019-06-17
33014,lavington,2 BR,Entire Home,15400,0.321,4.4,30,4,East Village,2019-06-17
33223,westlands,Studio,Private Room,6600,0.282,5,200,5,Williamsburg,2019-06-22
34760,runda,Studio,Private Room,3600,0.233,4.8,27,5,Fort Greene,2019-06-29
35526,muthaiga,1 BR,Private Room,12800,0.159,4.9,79,5,West Village,2019-06-22
36121,upperhill,Studio,Private Room,6400,0.071,4.1,9,3,Prospect Heights,2013-05-10
36133,westlands,Studio,Private Room,10200,0.997,5,155,5,Williamsburg,2019-06-13
36442,upperhill,1 BR,Entire Home,8700,0.263,4.1,4,3,Prospect Heights,2018-08-27
36647,muthaiga,Studio,Private Room,5700,0.973,4.5,34,5,East Harlem,2017-05-29
36703,muthaiga,2 BR,Entire Home,18400,0.145,5,134,5,West Village,2019-03-31
36934,westlands,1 BR,Entire Home,10200,0.482,4.4,27,5,Williamsburg,2018-12-27
38638,langata,2 BR,Entire Home,15900,0.205,5,126,2,Upper East Side,2019-06-26
38663,upperhill,3 BR,Entire Home,35900,0.37,4.4,23,3,Boerum Hill,2018-12-31
39267,langata,1 BR,Entire Home,7200,0.551,5,234,2,Upper East Side,2019-06-08
39282,westlands,Studio,Private Room,5700,0.855,5,202,5,Williamsburg,2019-05-28
39593,runda,Studio,Private Room,6500,0.655,4.4,28,5,Sunnyside,2019-04-12
39704,lavington,1 BR,Entire Home,10600,0.992,5,309,4,Bedford-Stuyvesant,2019-06-22
40039,south-b,1 BR,Private Room,18100,0.482,4.2,14,2,DUMBO,2011-04-25
40453,langata,2 BR,Entire Home,18100,0,4.1,4,2,Upper East Side,2016-09-23
41348,kilimani,2 BR,Entire Home,19700,0,5,80,4,Gowanus,2019-07-06
41513,langata,1 BR,Entire Home,5800,0,4,2,2,Harlem,2015-11-02
42580,ngong-road,Studio,Private Room,5300,0.079,5,294,3,Clinton Hill,2019-06-24
42729,parklands,2 BR,Entire Home,12500,0.063,5,150,3,Carroll Gardens,2019-06-18
42882,parklands,Studio,Private Room,5300,0.145,5,166,3,St. George,2019-06-13
43957,lavington,Studio,Private Room,3900,0.899,4.9,47,4,Bushwick,2019-06-19
44096,kileleshwa,Studio,Private Room,3200,0.033,5,219,4,Highbridge,2019-07-04
44161,westlands,1 BR,Entire Home,12300,0.515,5,193,5,Williamsburg,2016-07-06
44212,lavington,Studio,Private Room,9800,0.151,4.9,84,4,East Village,2019-06-23
44221,kilimani,2 BR,Entire Home,15400,0,5,114,4,Financial District,2019-06-20
44229,runda,Studio,Private Room,9000,0.121,5,213,5,Fort Greene,2019-06-24
44288,muthaiga,2 BR,Entire Home,13900,0.326,4.9,86,5,West Village,2019-06-01
44506,langata,2 BR,Entire Home,12000,0.367,4.9,80,2,Harlem,2019-05-26
45393,muthaiga,1 BR,Entire Home,12300,0.384,4.6,38,5,West Village,2016-04-20
45542,langata,1 BR,Entire Home,7300,0,5,18,2,Harlem,2018-12-17
45556,runda,Studio,Private Room,5300,0,5,206,5,Fort Greene,2019-06-30
45910,lavington,3 BR,Entire Home,27600,0,4.2,10,4,Ridgewood,2019-05-12
45936,lavington,Studio,Private Room,7800,0.362,5,122,4,Morningside Heights,2019-05-14
45940,westlands,2 BR,Entire Home,16400,0.997,4.6,33,5,Williamsburg,2019-04-08
46544,south-b,1 BR,Entire Home,10900,0.951,4.8,52,2,Park Slope,2019-06-05
46723,lavington,Studio,Private Room,7100,0.06,5,126,4,Bedford-Stuyvesant,2019-05-19
46911,upperhill,Studio,Private Room,9100,0.315,4.7,51,3,Prospect Heights,2019-06-24
47199,langata,Studio,Private Room,5400,0.107,5,199,2,Upper East Side,2019-06-24
47362,lavington,2 BR,Entire Home,13800,0.003,4.4,30,4,Bedford-Stuyvesant,2012-09-03
47370,lavington,1 BR,Entire Home,9800,0,4,3,4,Chelsea,2015-07-17
47926,karen,3 BR,Entire Home,22500,0.181,4.6,41,5,Hell's Kitchen,2019-06-26
48719,south-c,3 BR,Entire Home,20800,0.433,5,109,1,Lower East Side,2019-06-15
50447,thika-road,1 BR,Entire Home,9400,0.556,5,151,1,South Slope,2019-06-22
51438,langata,Studio,Private Room,9400,0,4,0,2,Upper East Side,
51485,south-c,Studio,Private Room,5800,0.981,5,285,1,Lower East Side,2019-06-22
51572,lavington,Studio,Private Room,9700,0.101,5,375,4,Chelsea,2019-06-18
51850,parklands,Studio,Private Room,4200,0,4.7,52,3,Jamaica,2019-05-20
53137,karen,2 BR,Entire Home,16000,0,4.6,10,5,Hell's Kitchen,2019-07-01
53196,lavington,Studio,Private Room,6300,0,4.4,11,4,Bedford-Stuyvesant,2017-11-13
53469,kileleshwa,1 BR,Entire Home,7700,0.342,4.5,33,4,Middle Village,2015-05-09
53470,lavington,Studio,Private Room,11000,0,4.1,6,4,Ridgewood,2015-10-08
53477,kileleshwa,3 BR,Entire Home,20900,0,4.6,38,4,Middle Village,2019-04-27
54158,westlands,2 BR,Entire Home,20400,0.551,5,358,5,Williamsburg,2019-06-20
54453,karen,Studio,Private Room,8600,0.005,4.1,10,5,Hell's Kitchen,2014-01-07
54466,langata,1 BR,Private Room,14500,0,4,0,2,Harlem,
54508,upperhill,Studio,Private Room,7600,0.315,5,226,3,Prospect Heights,2019-06-06
54544,langata,1 BR,Entire Home,8800,0.323,5,104,2,Harlem,2019-06-22
54626,kileleshwa,Studio,Private Room,3500,0.115,5,138,4,Highbridge,2019-06-30
54860,muthaiga,Studio,Private Room,8200,0.474,5,204,5,East Harlem,2019-06-23
55467,westlands,1 BR,Entire Home,11500,0.658,5,253,5,Williamsburg,2019-07-02
55498,lavington,Studio,Private Room,5600,0.751,4.3,23,4,Bedford-Stuyvesant,2019-07-01
55668,karen,Studio,Private Room,10600,0.795,5,115,5,NoHo,2018-12-05
55737,muthaiga,2 BR,Entire Home,16300,0.216,5,129,5,West Village,2019-05-19
55959,westlands,Studio,Private Room,5700,0.836,5,82,5,Williamsburg,2019-06-10
55982,runda,Studio,Private Room,5600,0,4.5,37,5,Fort Greene,2018-12-31
56467,lavington,1 BR,Entire Home,10200,0.474,5,204,4,East Village,2019-07-01
56525,langata,2 BR,Entire Home,14100,0.841,4.8,69,2,Greenpoint,2019-06-13
56859,langata,Studio,Private Room,4600,0.329,5,192,2,Harlem,2019-06-03
57166,south-c,1 BR,Entire Home,9700,0.2,4.3,17,1,Ditmars Steinway,2019-06-17
57297,runda,2 BR,Entire Home,13000,0.236,5,222,5,Cobble Hill,2019-06-24
57468,lavington,2 BR,Entire Home,14900,0,5,205,4,East Village,2019-06-23
57618,karen,2 BR,Entire Home,20500,0.992,5,94,5,Hell's Kitchen,2019-06-09
57740,lavington,2 BR,Entire Home,18800,0.038,4.1,7,4,East Village,2019-05-24
57754,gigiri,3 BR,Entire Home,25000,0.449,5,108,5,Flatiron District,2019-06-30
57874,langata,2 BR,Entire Home,11200,0.364,5,222,2,Harlem,2019-06-26
58059,langata,Studio,Private Room,4400,0.293,5,458,2,Harlem,2019-07-03
58062,parklands,Studio,Private Room,10200,0.255,4.3,21,3,Windsor Terrace,2019-05-17
58467,parklands,Studio,Private Room,9100,0.066,4.3,17,3,Roosevelt Island,2019-05-08
59014,south-c,1 BR,Entire Home,10400,0.332,4.6,41,1,Lower East Side,2019-01-02
59121,lavington,1 BR,Entire Home,11000,0,4,1,4,Ridgewood,2012-09-17
59642,langata,1 BR,Entire Home,9800,0.967,4.8,69,2,Greenpoint,2019-05-19
59709,muthaiga,2 BR,Entire Home,20500,0.274,4.3,18,5,Chinatown,2019-07-01
59855,runda,2 BR,Entire Home,20500,0,4.9,82,5,Midtown,2016-01-05
60164,kileleshwa,3 BR,Entire Home,39400,0.099,5,94,4,SoHo,2019-06-23
60457,parklands,2 BR,Entire Home,17000,0.751,4.1,10,3,Greenwich Village,2019-05-11
60611,muthaiga,1 BR,Entire Home,10200,0,5,183,5,East Harlem,2018-09-29
60666,langata,Studio,Private Room,6700,0.307,5,189,2,Harlem,2019-06-11
60673,langata,1 BR,Private Room,12700,0,4.1,1,2,Harlem,2018-10-07
60680,lavington,1 BR,Entire Home,7800,0.123,5,127,4,East Village,2019-06-20
60794,kilimani,2 BR,Entire Home,15400,0,4.1,4,4,Upper West Side,2017-08-25
60948,muthaiga,1 BR,Entire Home,11500,0.474,5,135,5,East Harlem,2019-06-20
61167,ngong-road,1 BR,Entire Home,10200,0,4.3,21,3,Little Italy,2015-12-12
61224,lavington,3 BR,Entire Home,39400,0.047,4.5,35,4,Chelsea,2017-07-27
61406,langata,Studio,Private Room,5800,0,5,10,2,Harlem,2019-06-01
61492,muthaiga,Studio,Private Room,9800,0.033,5,171,5,Chinatown,2019-06-23
61509,runda,1 BR,Entire Home,9000,0.616,5,92,5,Midtown,2019-04-30
62095,muthaiga,1 BR,Entire Home,5300,0.995,5,238,5,East Flatbush,2019-06-14
62427,lavington,1 BR,Entire Home,10200,0.847,4.8,56,4,East Village,2019-05-26
62430,lavington,1 BR,Entire Home,7800,0.814,5,111,4,Bushwick,2019-06-22
62452,parklands,Studio,Private Room,2700,0.014,5,193,3,Tompkinsville,2019-06-25
62461,parklands,Studio,Private Room,2800,0,5,147,3,Tompkinsville,2019-06-10
62787,parklands,Studio,Private Room,2800,0.123,5,177,3,Tompkinsville,2019-07-02
62891,lavington,2 BR,Entire Home,13800,0.107,5,185,4,East Village,2019-05-24
62903,lavington,2 BR,Entire Home,16100,0.792,4.9,62,4,Chelsea,2019-06-21
62925,langata,3 BR,Entire Home,20700,0.236,5,124,2,Greenpoint,2019-06-16
63299,westlands,Studio,Private Room,4800,0.959,5,181,5,Williamsburg,2019-06-23
63320,parklands,Studio,Private Room,2700,0.068,5,333,3,Tompkinsville,2019-07-02
63360,westlands,1 BR,Entire Home,8100,0.381,5,441,5,Astoria,2019-06-24
63546,lavington,Studio,Private Room,3100,0,4.7,45,4,Kensington,2019-05-16
63573,south-b,Studio,Private Room,4400,0,4.1,9,2,Park Slope,2016-08-29
63588,upperhill,Studio,Private Room,6800,0.044,4,0,3,Clason Point,
63657,lavington,1 BR,Entire Home,10600,0.97,5,248,4,Bedford-Stuyvesant,2019-06-25
63693,lavington,3 BR,Entire Home,30700,0.134,5,143,4,East Village,2019-06-19
63719,lavington,Studio,Private Room,5500,0.23,4.6,36,4,Bedford-Stuyvesant,2018-08-19
63913,westlands,Studio,Private Room,6100,0.115,4,0,5,Inwood,
64000,westlands,Studio,Private Room,4900,0.008,4.2,14,5,Williamsburg,2019-01-07
64015,lavington,2 BR,Entire Home,15800,0,4,0,4,East Village,
64107,south-c,Studio,Private Room,6900,0.175,5,279,1,Crown Heights,2019-06-24
64277,lavington,Studio,Private Room,5500,0.482,4.3,18,4,Bedford-Stuyvesant,2019-01-02
64314,south-c,Studio,Private Room,7600,0,5,50,1,Crown Heights,2019-05-26
64365,south-c,Studio,Private Room,4200,0.214,5,227,1,Crown Heights,2019-06-27
64707,ngong-road,1 BR,Entire Home,6800,0.962,4.1,1,3,Little Italy,2019-01-02
64837,lavington,Studio,Private Room,5400,0.764,5,203,4,East Village,2019-06-23
65019,kilimani,1 BR,Entire Home,9100,0.285,5,210,4,Upper West Side,2019-07-06
65268,lavington,Studio,Private Room,5900,0.814,4.8,64,4,Bedford-Stuyvesant,2019-01-05
65556,westlands,Studio,Private Room,4900,0,4,0,5,Williamsburg,
65562,lavington,1 BR,Entire Home,10200,0.367,4.1,5,4,East Village,2019-01-03
65615,westlands,1 BR,Entire Home,10600,0.584,4.7,49,5,Williamsburg,2019-06-29
65660,westlands,1 BR,Entire Home,7800,0.874,5,132,5,Williamsburg,2019-07-07
65813,langata,Studio,Private Room,5400,0.003,4.3,20,2,Harlem,2019-01-02
65834,south-b,2 BR,Entire Home,12700,0.326,4.2,11,2,Park Slope,2013-05-02
66008,parklands,2 BR,Entire Home,14400,0.211,4.8,51,3,Carroll Gardens,2019-07-01
66026,south-c,Studio,Private Room,3400,0.093,4.2,15,1,Crown Heights,2019-06-30
66251,lavington,2 BR,Entire Home,16700,0.86,5,67,4,East Village,2019-06-25
66275,south-c,Studio,Private Room,6600,0.003,5,109,1,Lower East Side,2019-06-23
66451,westlands,1 BR,Entire Home,11500,0.304,4.1,9,5,Williamsburg,2019-02-16
66718,langata,1 BR,Entire Home,9800,0.482,5,187,2,Harlem,2019-06-23
66741,south-b,1 BR,Entire Home,10900,0.279,5,214,2,Park Slope,2019-06-23
66974,kilimani,2 BR,Entire Home,15000,0.293,4.9,69,4,Gowanus,2019-07-01
67288,muthaiga,1 BR,Entire Home,10200,0.718,4.4,22,5,East Harlem,2019-06-15
67299,westlands,1 BR,Entire Home,11100,0.885,4.8,56,5,Williamsburg,2019-05-06
67397,lavington,Studio,Private Room,9600,0.326,5,93,4,Morningside Heights,2019-06-22
68099,kilimani,Studio,Private Room,8600,0.003,5,104,4,Upper West Side,2019-06-25
68305,langata,Studio,Private Room,6200,0.129,4.8,64,2,Harlem,2018-07-06
68403,lavington,1 BR,Entire Home,11400,0.803,5,127,4,Bedford-Stuyvesant,2019-06-24
68735,kilimani,2 BR,Entire Home,15400,0.318,4.5,30,4,Upper West Side,2019-06-13
68765,parklands,2 BR,Entire Home,18900,0.255,5,106,3,Carroll Gardens,2019-06-27
68900,langata,Studio,Private Room,9100,0.11,4.1,6,2,Greenpoint,2016-11-13
68974,ngong-road,3 BR,Entire Home,43500,0.184,5,191,3,Little Italy,2019-06-20
69894,kilimani,1 BR,Entire Home,11800,0.904,4.8,48,4,Upper West Side,2019-06-11
69921,lavington,Studio,Private Room,5500,0.444,4.7,47,4,Bushwick,2019-06-29
70095,westlands,Studio,Private Room,7400,0.638,5,120,5,Inwood,2019-06-30
70128,lavington,Studio,Private Room,5100,0.986,4.8,52,4,East Village,2019-01-10
70609,lavington,3 BR,Entire Home,39400,0.186,4.7,48,4,East Village,2019-06-16
71010,muthaiga,2 BR,Entire Home,20500,0.244,4.5,32,5,Washington Heights,2019-05-24
71248,muthaiga,1 BR,Entire Home,10200,0.721,4.6,43,5,Chinatown,2019-06-17
71366,muthaiga,2 BR,Entire Home,16400,0.312,4.6,39,5,West Village,2019-06-25
71384,langata,2 BR,Entire Home,16600,0.485,4.8,50,2,Greenpoint,2014-05-13
71812,upperhill,1 BR,Entire Home,6800,0.052,4.2,4,3,Kingsbridge,2019-01-02
72190,kilimani,1 BR,Entire Home,8700,0,4.6,38,4,Upper West Side,2019-02-15
