date,neighborhood,occupancy,booking_count
2015-07-17,gigiri,0.522,106
2015-07-17,parklands,0.548,93
2015-07-17,upperhill,0.475,93
2015-07-17,kileleshwa,0.62,100
2015-07-17,runda,0.599,106
2015-07-17,muthaiga,0.829,106
2015-07-17,south-b,0.508,87
2015-07-17,south-c,0.679,81
2015-07-17,ngong-road,0.511,93
2015-07-17,thika-road,0.537,81
2015-07-18,westlands,0.724,77
2015-07-18,kilimani,0.582,72
2015-07-18,karen,0.58,77
2015-07-18,lavington,0.98,72
2015-07-18,langata,0.791,63
2015-07-18,gigiri,0.473,77
2015-07-18,parklands,0.495,68
2015-07-18,upperhill,0.438,68
2015-07-18,kileleshwa,0.554,72
2015-07-18,runda,0.524,77
2015-07-18,muthaiga,0.699,77
2015-07-18,south-b,0.467,63
2015-07-18,south-c,0.586,59
2015-07-18,ngong-road,0.462,68
2015-07-18,thika-road,0.494,59
2015-07-19,westlands,0.516,36
2015-07-19,kilimani,0.44,34
2015-07-19,karen,0.468,36
2015-07-19,lavington,0.681,34
2015-07-19,langata,0.551,30
2015-07-19,gigiri,0.403,36
2015-07-19,parklands,0.42,32
2015-07-19,upperhill,0.385,32
2015-07-19,kileleshwa,0.462,34
2015-07-19,runda,0.418,36
2015-07-19,muthaiga,0.516,36
2015-07-19,south-b,0.41,30
2015-07-19,south-c,0.454,27
2015-07-19,ngong-road,0.392,32
2015-07-19,thika-road,0.434,27
2015-07-20,westlands,0.513,53
2015-07-20,kilimani,0.409,50
2015-07-20,karen,0.425,53
2015-07-20,lavington,0.75,50
2015-07-20,langata,0.561,43
2015-07-20,gigiri,0.342,53
2015-07-20,parklands,0.361,47
2015-07-20,upperhill,0.317,47
2015-07-20,kileleshwa,0.41,50
2015-07-20,runda,0.372,53
2015-07-20,muthaiga,0.502,53
2015-07-20,south-b,0.344,43
2015-07-20,south-c,0.418,40
2015-07-20,ngong-road,0.331,47
2015-07-20,thika-road,0.369,40
2015-07-21,westlands,0.381,27
2015-07-21,kilimani,0.319,25
2015-07-21,karen,0.354,27
2015-07-21,lavington,0.507,25
2015-07-21,langata,0.409,22
2015-07-21,gigiri,0.298,27
2015-07-21,parklands,0.313,24
2015-07-21,upperhill,0.284,24
2015-07-21,kileleshwa,0.351,25
2015-07-21,runda,0.304,27
2015-07-21,muthaiga,0.386,27
2015-07-21,south-b,0.308,22
2015-07-21,south-c,0.335,21
2015-07-21,ngong-road,0.287,24
2015-07-21,thika-road,0.331,21
2015-07-22,westlands,0.462,43
2015-07-22,kilimani,0.374,40
2015-07-22,karen,0.397,43
2015-07-22,lavington,0.657,40
2015-07-22,langata,0.502,35
2015-07-22,gigiri,0.325,43
2015-07-22,parklands,0.343,38
2015-07-22,upperhill,0.304,38
2015-07-22,kileleshwa,0.387,40
2015-07-22,runda,0.346,43
2015-07-22,muthaiga,0.457,43
2015-07-22,south-b,0.33,35
2015-07-22,south-c,0.386,33
2015-07-22,ngong-road,0.314,38
2015-07-22,thika-road,0.354,33
2015-07-23,westlands,0.579,66
2015-07-23,kilimani,0.454,62
2015-07-23,karen,0.46,66
2015-07-23,lavington,0.872,62
2015-07-23,langata,0.637,54
2015-07-23,gigiri,0.364,66
2015-07-23,parklands,0.385,58
2015-07-23,upperhill,0.334,58
2015-07-23,kileleshwa,0.44,62
2015-07-23,runda,0.405,66
2015-07-23,muthaiga,0.56,66
2015-07-23,south-b,0.362,54
2015-07-23,south-c,0.46,50
2015-07-23,ngong-road,0.353,58
2015-07-23,thika-road,0.388,50
2015-07-24,westlands,0.582,49
2015-07-24,kilimani,0.485,46
2015-07-24,karen,0.504,49
2015-07-24,lavington,0.803,46
2015-07-24,langata,0.627,40
2015-07-24,gigiri,0.425,49
2015-07-24,parklands,0.444,43
2015-07-24,upperhill,0.402,43
2015-07-24,kileleshwa,0.491,46
2015-07-24,runda,0.451,49
2015-07-24,muthaiga,0.574,49
2015-07-24,south-b,0.428,40
2015-07-24,south-c,0.496,37
2015-07-24,ngong-road,0.414,43
2015-07-24,thika-road,0.453,37
2015-07-25,westlands,0.846,101
2015-07-25,kilimani,0.665,95
2015-07-25,karen,0.645,101
2015-07-25,lavington,0.98,95
2015-07-25,langata,0.932,83
2015-07-25,gigiri,0.514,101
2015-07-25,parklands,0.538,89
2015-07-25,upperhill,0.468,89
2015-07-25,kileleshwa,0.609,95
2015-07-25,runda,0.586,101
2015-07-25,muthaiga,0.807,101
2015-07-25,south-b,0.501,83
2015-07-25,south-c,0.663,77
2015-07-25,ngong-road,0.503,89
2015-07-25,thika-road,0.529,77
2015-07-26,westlands,0.496,32
2015-07-26,kilimani,0.426,30
2015-07-26,karen,0.457,32
2015-07-26,lavington,0.644,30
2015-07-26,langata,0.528,26
2015-07-26,gigiri,0.396,32
2015-07-26,parklands,0.413,28
2015-07-26,upperhill,0.38,28
2015-07-26,kileleshwa,0.452,30
2015-07-26,runda,0.407,32
2015-07-26,muthaiga,0.498,32
2015-07-26,south-b,0.405,26
2015-07-26,south-c,0.441,24
2015-07-26,ngong-road,0.386,28
2015-07-26,thika-road,0.428,24
2015-07-27,westlands,0.614,73
2015-07-27,kilimani,0.478,69
2015-07-27,karen,0.479,73
2015-07-27,lavington,0.938,69
2015-07-27,langata,0.678,60
2015-07-27,gigiri,0.376,73
2015-07-27,parklands,0.397,64
2015-07-27,upperhill,0.343,64
2015-07-27,kileleshwa,0.455,69
2015-07-27,runda,0.424,73
2015-07-27,muthaiga,0.592,73
2015-07-27,south-b,0.372,60
2015-07-27,south-c,0.483,55
2015-07-27,ngong-road,0.365,64
2015-07-27,thika-road,0.398,55
2015-07-28,westlands,0.386,28
2015-07-28,kilimani,0.322,26
2015-07-28,karen,0.356,28
2015-07-28,lavington,0.516,26
2015-07-28,langata,0.414,23
2015-07-28,gigiri,0.3,28
2015-07-28,parklands,0.315,25
2015-07-28,upperhill,0.285,25
2015-07-28,kileleshwa,0.353,26
2015-07-28,runda,0.307,28
2015-07-28,muthaiga,0.39,28
2015-07-28,south-b,0.309,23
2015-07-28,south-c,0.338,21
2015-07-28,ngong-road,0.289,25
2015-07-28,thika-road,0.332,21
2015-07-29,westlands,0.416,34
2015-07-29,kilimani,0.343,32
2015-07-29,karen,0.373,34
2015-07-29,lavington,0.572,32
2015-07-29,langata,0.45,28
2015-07-29,gigiri,0.31,34
2015-07-29,parklands,0.326,30
2015-07-29,upperhill,0.293,30
2015-07-29,kileleshwa,0.367,32
2015-07-29,runda,0.322,34
2015-07-29,muthaiga,0.417,34
2015-07-29,south-b,0.318,28
2015-07-29,south-c,0.357,26
2015-07-29,ngong-road,0.299,30
2015-07-29,thika-road,0.341,26
2015-07-30,westlands,0.452,41
2015-07-30,kilimani,0.367,39
2015-07-30,karen,0.392,41
2015-07-30,lavington,0.638,39
2015-07-30,langata,0.49,34
2015-07-30,gigiri,0.322,41
2015-07-30,parklands,0.339,36
2015-07-30,upperhill,0.302,36
2015-07-30,kileleshwa,0.383,39
2015-07-30,runda,0.341,41
2015-07-30,muthaiga,0.449,41
2015-07-30,south-b,0.327,34
2015-07-30,south-c,0.38,31
2015-07-30,ngong-road,0.311,36
2015-07-30,thika-road,0.351,31
2015-07-31,westlands,0.592,51
2015-07-31,kilimani,0.492,48
2015-07-31,karen,0.509,51
2015-07-31,lavington,0.822,48
2015-07-31,langata,0.639,42
2015-07-31,gigiri,0.429,51
2015-07-31,parklands,0.447,45
2015-07-31,upperhill,0.405,45
2015-07-31,kileleshwa,0.496,48
2015-07-31,runda,0.457,51
2015-07-31,muthaiga,0.583,51
2015-07-31,south-b,0.431,42
2015-07-31,south-c,0.502,39
2015-07-31,ngong-road,0.418,45
2015-07-31,thika-road,0.456,39
2015-08-01,westlands,0.638,60
2015-08-01,kilimani,0.523,56
2015-08-01,karen,0.534,60
2015-08-01,lavington,0.906,56
2015-08-01,langata,0.692,49
2015-08-01,gigiri,0.444,60
2015-08-01,parklands,0.464,53
2015-08-01,upperhill,0.416,53
2015-08-01,kileleshwa,0.516,56
2015-08-01,runda,0.48,60
2015-08-01,muthaiga,0.623,60
2015-08-01,south-b,0.444,49
2015-08-01,south-c,0.531,46
2015-08-01,ngong-road,0.433,53
2015-08-01,thika-road,0.469,46
2015-08-02,westlands,0.552,43
2015-08-02,kilimani,0.464,40
2015-08-02,karen,0.487,43
2015-08-02,lavington,0.747,40
2015-08-02,langata,0.592,35
2015-08-02,gigiri,0.415,43
2015-08-02,parklands,0.433,38
2015-08-02,upperhill,0.394,38
2015-08-02,kileleshwa,0.477,40
2015-08-02,runda,0.436,43
2015-08-02,muthaiga,0.547,43
2015-08-02,south-b,0.42,35
2015-08-02,south-c,0.476,33
2015-08-02,ngong-road,0.404,38
2015-08-02,thika-road,0.444,33
2015-08-03,westlands,0.614,73
2015-08-03,kilimani,0.478,69
2015-08-03,karen,0.479,73
2015-08-03,lavington,0.938,69
2015-08-03,langata,0.678,60
2015-08-03,gigiri,0.376,73
2015-08-03,parklands,0.397,64
2015-08-03,upperhill,0.343,64
2015-08-03,kileleshwa,0.455,69
2015-08-03,runda,0.424,73
2015-08-03,muthaiga,0.592,73
2015-08-03,south-b,0.372,60
2015-08-03,south-c,0.483,55
2015-08-03,ngong-road,0.365,64
2015-08-03,thika-road,0.398,55
2015-08-04,westlands,0.442,39
2015-08-04,kilimani,0.36,37
2015-08-04,karen,0.386,39
2015-08-04,lavington,0.619,37
2015-08-04,langata,0.479,32
2015-08-04,gigiri,0.318,39
2015-08-04,parklands,0.335,34
2015-08-04,upperhill,0.299,34
2015-08-04,kileleshwa,0.378,37
2015-08-04,runda,0.335,39
2015-08-04,muthaiga,0.44,39
2015-08-04,south-b,0.324,32
2015-08-04,south-c,0.373,30
2015-08-04,ngong-road,0.307,34
2015-08-04,thika-road,0.349,30
2015-08-05,westlands,0.7,90
2015-08-05,kilimani,0.537,85
2015-08-05,karen,0.525,90
2015-08-05,lavington,0.98,85
2015-08-05,langata,0.777,74
2015-08-05,gigiri,0.405,90
2015-08-05,parklands,0.428,79
2015-08-05,upperhill,0.364,79
2015-08-05,kileleshwa,0.494,85
2015-08-05,runda,0.468,90
2015-08-05,muthaiga,0.668,90
2015-08-05,south-b,0.395,74
2015-08-05,south-c,0.538,68
2015-08-05,ngong-road,0.394,79
2015-08-05,thika-road,0.423,68
2015-08-06,westlands,0.487,48
2015-08-06,kilimani,0.391,45
2015-08-06,karen,0.411,48
2015-08-06,lavington,0.704,45
2015-08-06,langata,0.531,39
2015-08-06,gigiri,0.334,48
2015-08-06,parklands,0.352,42
2015-08-06,upperhill,0.311,42
2015-08-06,kileleshwa,0.399,45
2015-08-06,runda,0.359,48
2015-08-06,muthaiga,0.48,48
2015-08-06,south-b,0.337,39
2015-08-06,south-c,0.402,36
2015-08-06,ngong-road,0.323,42
2015-08-06,thika-road,0.362,36
2015-08-07,westlands,0.724,77
2015-08-07,kilimani,0.582,72
2015-08-07,karen,0.58,77
2015-08-07,lavington,0.98,72
2015-08-07,langata,0.791,63
2015-08-07,gigiri,0.473,77
2015-08-07,parklands,0.495,68
2015-08-07,upperhill,0.438,68
2015-08-07,kileleshwa,0.554,72
2015-08-07,runda,0.524,77
2015-08-07,muthaiga,0.699,77
2015-08-07,south-b,0.467,63
2015-08-07,south-c,0.586,59
2015-08-07,ngong-road,0.462,68
2015-08-07,thika-road,0.494,59
2015-08-08,westlands,0.871,106
2015-08-08,kilimani,0.682,100
2015-08-08,karen,0.659,106
2015-08-08,lavington,0.98,100
2015-08-08,langata,0.961,87
2015-08-08,gigiri,0.522,106
2015-08-08,parklands,0.548,93
2015-08-08,upperhill,0.475,93
2015-08-08,kileleshwa,0.62,100
2015-08-08,runda,0.599,106
2015-08-08,muthaiga,0.829,106
2015-08-08,south-b,0.508,87
2015-08-08,south-c,0.679,81
2015-08-08,ngong-road,0.511,93
2015-08-08,thika-road,0.537,81
2015-08-09,westlands,0.694,71
2015-08-09,kilimani,0.561,67
2015-08-09,karen,0.564,71
2015-08-09,lavington,0.98,67
2015-08-09,langata,0.756,58
2015-08-09,gigiri,0.463,71
2015-08-09,parklands,0.484,62
2015-08-09,upperhill,0.43,62
2015-08-09,kileleshwa,0.541,67
2015-08-09,runda,0.508,71
2015-08-09,muthaiga,0.673,71
2015-08-09,south-b,0.459,58
2015-08-09,south-c,0.566,54
2015-08-09,ngong-road,0.452,62
2015-08-09,thika-road,0.485,54
2015-08-10,westlands,0.893,128
2015-08-10,kilimani,0.668,120
2015-08-10,karen,0.629,128
2015-08-10,lavington,0.98,120
2015-08-10,langata,0.98,105
2015-08-10,gigiri,0.469,128
2015-08-10,parklands,0.498,113
2015-08-10,upperhill,0.413,113
2015-08-10,kileleshwa,0.58,120
2015-08-10,runda,0.566,128
2015-08-10,muthaiga,0.837,128
2015-08-10,south-b,0.448,105
2015-08-10,south-c,0.66,97
2015-08-10,ngong-road,0.459,113
2015-08-10,thika-road,0.479,97
2015-08-11,westlands,0.695,89
2015-08-11,kilimani,0.533,84
2015-08-11,karen,0.523,89
2015-08-11,lavington,0.98,84
2015-08-11,langata,0.771,73
2015-08-11,gigiri,0.403,89
2015-08-11,parklands,0.427,78
2015-08-11,upperhill,0.363,78
2015-08-11,kileleshwa,0.492,84
2015-08-11,runda,0.465,89
2015-08-11,muthaiga,0.663,89
2015-08-11,south-b,0.394,73
2015-08-11,south-c,0.534,68
2015-08-11,ngong-road,0.392,78
2015-08-11,thika-road,0.422,68
2015-08-12,westlands,0.665,83
2015-08-12,kilimani,0.513,78
2015-08-12,karen,0.506,83
2015-08-12,lavington,0.98,78
2015-08-12,langata,0.736,68
2015-08-12,gigiri,0.393,83
2015-08-12,parklands,0.416,73
2015-08-12,upperhill,0.355,73
2015-08-12,kileleshwa,0.478,78
2015-08-12,runda,0.45,83
2015-08-12,muthaiga,0.636,83
2015-08-12,south-b,0.386,68
2015-08-12,south-c,0.515,63
2015-08-12,ngong-road,0.382,73
2015-08-12,thika-road,0.413,63
2015-08-13,westlands,0.513,53
2015-08-13,kilimani,0.409,50
2015-08-13,karen,0.425,53
2015-08-13,lavington,0.75,50
2015-08-13,langata,0.561,43
2015-08-13,gigiri,0.342,53
2015-08-13,parklands,0.361,47
2015-08-13,upperhill,0.317,47
2015-08-13,kileleshwa,0.41,50
2015-08-13,runda,0.372,53
2015-08-13,muthaiga,0.502,53
2015-08-13,south-b,0.344,43
2015-08-13,south-c,0.418,40
2015-08-13,ngong-road,0.331,47
2015-08-13,thika-road,0.369,40
2015-08-14,westlands,0.937,119
2015-08-14,kilimani,0.727,112
2015-08-14,karen,0.695,119
2015-08-14,lavington,0.98,112
2015-08-14,langata,0.98,98
2015-08-14,gigiri,0.544,119
2015-08-14,parklands,0.571,105
2015-08-14,upperhill,0.491,105
2015-08-14,kileleshwa,0.65,112
2015-08-14,runda,0.633,119
2015-08-14,muthaiga,0.887,119
2015-08-14,south-b,0.526,98
2015-08-14,south-c,0.721,90
2015-08-14,ngong-road,0.533,105
2015-08-14,thika-road,0.556,90
2015-08-15,westlands,0.846,101
2015-08-15,kilimani,0.665,95
2015-08-15,karen,0.645,101
2015-08-15,lavington,0.98,95
2015-08-15,langata,0.932,83
2015-08-15,gigiri,0.514,101
2015-08-15,parklands,0.538,89
2015-08-15,upperhill,0.468,89
2015-08-15,kileleshwa,0.609,95
2015-08-15,runda,0.586,101
2015-08-15,muthaiga,0.807,101
2015-08-15,south-b,0.501,83
2015-08-15,south-c,0.663,77
2015-08-15,ngong-road,0.503,89
2015-08-15,thika-road,0.529,77
2015-08-16,westlands,0.709,74
2015-08-16,kilimani,0.571,70
2015-08-16,karen,0.572,74
2015-08-16,lavington,0.98,70
2015-08-16,langata,0.774,61
2015-08-16,gigiri,0.468,74
2015-08-16,parklands,0.489,65
2015-08-16,upperhill,0.434,65
2015-08-16,kileleshwa,0.548,70
2015-08-16,runda,0.516,74
2015-08-16,muthaiga,0.686,74
2015-08-16,south-b,0.463,61
2015-08-16,south-c,0.576,56
2015-08-16,ngong-road,0.457,65
2015-08-16,thika-road,0.49,56
2015-08-17,westlands,0.792,108
2015-08-17,kilimani,0.599,102
2015-08-17,karen,0.575,108
2015-08-17,lavington,0.98,102
2015-08-17,langata,0.883,89
2015-08-17,gigiri,0.435,108
2015-08-17,parklands,0.461,95
2015-08-17,upperhill,0.387,95
2015-08-17,kileleshwa,0.535,102
2015-08-17,runda,0.514,108
2015-08-17,muthaiga,0.748,108
2015-08-17,south-b,0.42,89
2015-08-17,south-c,0.595,82
2015-08-17,ngong-road,0.425,95
2015-08-17,thika-road,0.45,82
2015-08-18,westlands,0.589,68
2015-08-18,kilimani,0.461,64
2015-08-18,karen,0.466,68
2015-08-18,lavington,0.891,64
2015-08-18,langata,0.649,56
2015-08-18,gigiri,0.368,68
2015-08-18,parklands,0.388,60
2015-08-18,upperhill,0.336,60
2015-08-18,kileleshwa,0.444,64
2015-08-18,runda,0.411,68
2015-08-18,muthaiga,0.569,68
2015-08-18,south-b,0.365,56
2015-08-18,south-c,0.467,52
2015-08-18,ngong-road,0.357,60
2015-08-18,thika-road,0.391,52
2015-08-19,westlands,0.538,58
2015-08-19,kilimani,0.426,55
2015-08-19,karen,0.438,58
2015-08-19,lavington,0.797,55
2015-08-19,langata,0.59,48
2015-08-19,gigiri,0.351,58
2015-08-19,parklands,0.37,51
2015-08-19,upperhill,0.323,51
2015-08-19,kileleshwa,0.421,55
2015-08-19,runda,0.385,58
2015-08-19,muthaiga,0.525,58
2015-08-19,south-b,0.351,48
2015-08-19,south-c,0.435,44
2015-08-19,ngong-road,0.34,51
2015-08-19,thika-road,0.376,44
2015-08-20,westlands,0.548,60
2015-08-20,kilimani,0.433,56
2015-08-20,karen,0.444,60
2015-08-20,lavington,0.816,56
2015-08-20,langata,0.602,49
2015-08-20,gigiri,0.354,60
2015-08-20,parklands,0.374,53
2015-08-20,upperhill,0.326,53
2015-08-20,kileleshwa,0.426,56
2015-08-20,runda,0.39,60
2015-08-20,muthaiga,0.533,60
2015-08-20,south-b,0.354,49
2015-08-20,south-c,0.441,46
2015-08-20,ngong-road,0.343,53
2015-08-20,thika-road,0.379,46
2015-08-21,westlands,0.648,62
2015-08-21,kilimani,0.53,58
2015-08-21,karen,0.539,62
2015-08-21,lavington,0.925,58
2015-08-21,langata,0.703,51
2015-08-21,gigiri,0.447,62
2015-08-21,parklands,0.467,55
2015-08-21,upperhill,0.419,55
2015-08-21,kileleshwa,0.52,58
2015-08-21,runda,0.485,62
2015-08-21,muthaiga,0.632,62
2015-08-21,south-b,0.446,51
2015-08-21,south-c,0.537,47
2015-08-21,ngong-road,0.437,55
2015-08-21,thika-road,0.472,47
2015-08-22,westlands,0.74,80
2015-08-22,kilimani,0.592,75
2015-08-22,karen,0.588,80
2015-08-22,lavington,0.98,75
2015-08-22,langata,0.809,66
2015-08-22,gigiri,0.478,80
2015-08-22,parklands,0.5,70
2015-08-22,upperhill,0.442,70
2015-08-22,kileleshwa,0.561,75
2015-08-22,runda,0.532,80
2015-08-22,muthaiga,0.713,80
2015-08-22,south-b,0.472,66
2015-08-22,south-c,0.595,61
2015-08-22,ngong-road,0.467,70
2015-08-22,thika-road,0.499,61
2015-08-23,westlands,0.648,62
